,e1_out_mean,e2_out_mean,e1_out_std,e2_out_std
0,0.16556697,0.30202484,0.113357626,0.0941682
1,0.4966441,0.59961224,0.09338681,0.09192568
2,0.28966185,0.7411064,0.050929535,0.050640542
3,-0.06941368,-0.08259046,0.030101025,0.027597105
4,0.04485162,-0.0658918,0.13219547,0.12403167
5,-0.12436515,0.2796526,0.15869509,0.13298613
6,0.1227736,0.052680857,0.054084588,0.044543926
7,-0.04601204,0.06094689,0.03414115,0.03352737
8,0.010085266,0.06443855,0.022132277,0.019492786
9,-0.06419319,-0.032910287,0.121760815,0.094813615
10,-0.022363663,-0.010644592,0.06230283,0.051244687
11,0.01136744,0.03675578,0.052295122,0.04825987
12,-0.357517,-0.3513614,0.05028867,0.044844974
13,-0.16036083,-0.22855598,0.083230466,0.07436661
14,0.17263632,0.3171612,0.18132985,0.14245352
15,-0.015504729,0.013951242,0.06145725,0.053137757
16,-0.005429076,-0.018311143,0.042360406,0.037003025
17,0.062279355,-0.038947195,0.05334414,0.04834424
18,-0.42800024,-0.04996042,0.03389296,0.027259372
19,-0.0021608323,0.00010356307,0.0352195,0.028945373
20,0.19723456,-0.23101637,0.034637917,0.030902056
21,0.052093882,-0.17878675,0.062405095,0.056302644
22,0.044471953,-0.1013881,0.07016974,0.07012876
23,0.12112053,-0.045786887,0.031255726,0.023824118
24,0.1102007,-0.8917099,0.108585335,0.1368107
25,0.033043478,-0.04596047,0.027416412,0.023707554
26,0.18784188,0.046669744,0.071967795,0.06489901
27,0.1448733,0.024178915,0.027814047,0.024292186
28,0.30982465,-0.27844724,0.07096013,0.052446555
29,-0.11461742,0.13707933,0.043766595,0.040122285
30,-0.15646069,-0.08979869,0.03393928,0.02627462
31,-0.01360268,0.089288086,0.06044926,0.04881455
32,0.14588763,-0.1476124,0.053069472,0.05559572
33,-0.111376494,-0.080531344,0.057799883,0.048901696
34,0.7861974,0.083823144,0.049302712,0.035154436
35,-0.4185763,0.20063832,0.04054982,0.031652186
36,-0.03817662,-0.09080447,0.082254834,0.07518609
37,-0.024546167,0.062296636,0.04829068,0.04741787
38,0.012519039,0.02366101,0.03156902,0.026025746
39,0.26496953,-0.07197711,0.20214936,0.13473365
40,0.33109912,-0.304325,0.060856853,0.050319467
41,-0.070053115,-0.00930275,0.03564914,0.029059153
42,-0.004331954,-0.029390603,0.045216173,0.034510158
43,0.023711517,-0.0004531294,0.042334013,0.039122973
44,-0.6644513,0.057999905,0.058166604,0.047680173
45,0.12154475,-0.0034647062,0.09277596,0.09638326
46,-0.3351689,-0.64044046,0.048003253,0.058442067
47,-0.16893247,-0.5379237,0.057786148,0.060708795
48,-0.018796004,-0.0737347,0.08367023,0.07831316
49,-0.0001918748,0.1261753,0.0523897,0.040653013
50,-0.048893325,0.06496881,0.04669482,0.037641227
51,0.33928385,0.1301273,0.07511367,0.056725096
52,0.009017803,0.03850032,0.05279812,0.0411178
53,-0.16415724,0.35953158,0.06916527,0.0703879
54,-0.6468559,-0.030654058,0.08207136,0.060405128
55,-0.27231526,-0.46198347,0.045991696,0.04645498
56,0.2426072,0.41254085,0.045916434,0.038606875
57,0.015713818,-0.08321424,0.10644652,0.10483536
58,-0.006630309,-0.13458692,0.06785306,0.060362525
59,-0.055973142,0.07173404,0.033383593,0.028262202
60,-0.57694906,0.34504014,0.16051985,0.14150469
61,-0.13582899,0.13071877,0.036932915,0.028377555
62,-0.0549806,0.022604749,0.10389705,0.08029341
63,-0.21706966,-0.37473875,0.038022492,0.037360825
64,0.19490711,0.15643267,0.07049108,0.05570691
65,-0.21061699,0.1954795,0.11738976,0.08780763
66,0.2348223,0.11048552,0.028614644,0.023978233
67,-0.3833761,0.24098617,0.11896304,0.111416
68,-0.49141362,-0.28934082,0.05300141,0.048861176
69,0.428037,-0.026983164,0.07614035,0.058351353
70,0.1468106,0.0060779825,0.025400389,0.021708244
71,0.11793086,-0.12154746,0.044940174,0.03730031
72,0.09309521,-0.2856349,0.0360112,0.032534484
73,-0.29949835,0.13775226,0.058217112,0.051263563
74,0.46223584,-0.021291934,0.08801925,0.06993577
75,-0.30620965,-0.53202987,0.060291916,0.06693995
76,-0.028146943,0.03138294,0.09921563,0.104035035
77,-0.15663321,0.32455707,0.056884587,0.050327178
78,-0.19702889,-0.14736599,0.14573036,0.115609765
79,-0.1268047,0.38070217,0.07275677,0.07352759
80,-0.61047757,0.3364696,0.06020964,0.049386587
81,0.23382866,-0.5201322,0.04689732,0.042849205
82,-0.44220474,0.06457901,0.100455,0.08582354
83,-0.140339,0.06627537,0.15732697,0.16722716
84,0.28869277,0.32031682,0.07450748,0.06126987
85,0.0132680535,0.0067446157,0.073103994,0.06818926
86,0.17440522,-0.13076481,0.10141173,0.09386912
87,0.25334588,0.36923125,0.059614003,0.055542573
88,-0.6263828,0.23812759,0.051435363,0.0458156
89,-0.012612781,-0.113278195,0.035319734,0.030519076
90,-0.25433496,-0.15552023,0.032081395,0.026286634
91,0.0016276352,-0.09905201,0.042341433,0.038154565
92,0.28893432,0.06152645,0.08602705,0.06661998
93,-0.04358371,-0.14682595,0.07542402,0.07758304
94,-0.0036525168,-0.0043771192,0.07268894,0.07196786
95,0.06774631,-0.046530783,0.080202945,0.06931303
96,0.10772067,0.006125532,0.03753199,0.028045958
97,-0.47114396,-0.6482532,0.045349017,0.051000267
98,0.42105275,0.014030047,0.063454755,0.049515653
99,0.19211078,-0.22712421,0.20229943,0.18190205
100,0.15978406,-0.04601918,0.12661543,0.112596944
101,-0.16507459,0.0017550066,0.038527325,0.030451912
102,-0.060674947,0.050450455,0.04010625,0.034977753
103,-0.5883166,0.71529865,0.066878706,0.08045164
104,0.098034635,0.18672624,0.04766482,0.05030083
105,0.04505935,0.026563458,0.0418415,0.033593673
106,-0.6566541,0.2750302,0.07564178,0.061104804
107,-0.51157475,-0.33214527,0.051750332,0.044087496
108,-0.023995757,0.004988976,0.039962515,0.0355514
109,-0.3391627,-0.1882838,0.10010259,0.08691822
110,0.2373156,-0.20802575,0.0335571,0.027559899
111,0.09500994,0.09468135,0.030149376,0.02375139
112,0.24362007,-0.5166075,0.030386122,0.033705812
113,-0.046271585,0.011112139,0.04044083,0.033785667
114,0.04351284,0.11067149,0.06029292,0.04918798
115,-0.009317078,0.05020946,0.11179054,0.086274184
116,0.67468864,-0.0064217,0.05350077,0.041115895
117,0.0070905574,0.034745455,0.023982657,0.019079443
118,0.058196206,-0.23242664,0.07569981,0.06543773
119,0.19794129,0.031369224,0.03381275,0.027581714
120,-0.27148867,-0.27281728,0.07602502,0.07962655
121,0.030733366,-0.14932498,0.044518728,0.04169096
122,-0.117522076,-0.5037521,0.10414824,0.09030774
123,-0.014592741,0.07858605,0.08966868,0.077440746
124,0.74371326,0.3463802,0.033835683,0.033366494
125,-0.11673616,-0.18156424,0.032581616,0.02679038
126,-0.15219823,-0.12559904,0.03793504,0.034413256
127,0.2768874,-0.46524104,0.05257804,0.046286423
128,-0.027714549,-0.40352634,0.03742578,0.0357797
129,0.61647445,-0.08953966,0.08641649,0.055854615
130,0.40634793,0.2729265,0.07749282,0.06352396
131,-0.16718765,-0.1495174,0.09730446,0.07554634
132,0.11919941,-0.37929225,0.081198364,0.07006856
133,0.06752801,0.19447592,0.10452841,0.10108649
134,-0.22922038,0.44768962,0.12494675,0.1277075
135,0.016029581,0.029589303,0.070523635,0.06908698
136,-0.6976855,-0.2659587,0.047524665,0.033825196
