,e1_out_mean,e2_out_mean,e1_out_std,e2_out_std
0,0.22136027,-0.57920325,0.036213916,0.035961278
1,0.039122377,0.016911112,0.089850895,0.07802685
2,-0.45332745,0.24196652,0.20591308,0.22371641
3,-0.28614953,0.498601,0.065593645,0.06623281
4,-0.046097916,-0.02946797,0.032878004,0.030392852
5,-0.014329184,-0.436488,0.15961845,0.17283653
6,-0.060760066,-0.03588605,0.03683491,0.029625632
7,0.17149422,0.046202168,0.043813843,0.0324038
8,-0.035627156,0.030487247,0.099183775,0.087298155
9,0.2339899,0.2837032,0.039831586,0.03337852
10,-0.41433942,-0.6866822,0.046060227,0.046191182
11,0.08788107,-0.11353199,0.0716486,0.056553204
12,0.09951618,-0.23990083,0.064343706,0.055864595
13,-0.24281296,-0.06805484,0.23219317,0.20058979
14,-0.025510315,-0.21405938,0.028166097,0.023120526
15,-0.034021765,0.020906575,0.105991356,0.080942236
16,-0.042450424,-0.03893876,0.11170909,0.09721468
17,-0.045930915,0.21927994,0.044327386,0.03681192
18,0.23088345,-0.19175228,0.102829635,0.08705437
19,0.64296937,0.089412905,0.19835958,0.15349598
20,0.16861017,-0.15592769,0.030967638,0.024618557
21,-0.13183765,-0.23841918,0.13417594,0.1483222
22,-0.054618925,-0.020678781,0.072163686,0.064900175
23,0.01368425,0.2639001,0.18908302,0.17381382
24,-0.02434288,-0.010001279,0.04868567,0.04152286
25,0.0074772313,0.0027369633,0.033155277,0.027979393
26,0.059674453,0.23228885,0.13684161,0.1479144
27,-0.23786244,-0.00094967335,0.07496658,0.045078643
28,-0.0048775934,-0.09436071,0.062953725,0.05014926
29,0.075578615,0.0008809641,0.06578386,0.058358893
30,-0.042719398,0.11409175,0.086202055,0.072525315
31,-0.012837464,-0.1237905,0.05322309,0.052538656
32,0.1721936,-0.43631884,0.08042769,0.08902237
33,-0.16101454,-0.0035379156,0.053805035,0.050193235
34,0.15365799,0.23374715,0.0653442,0.050004795
35,-0.25952527,-0.17542788,0.21717313,0.1866869
36,-0.22095677,0.41231936,0.047234185,0.04390661
37,0.07273488,0.5110719,0.075234964,0.07839696
38,0.48370042,-0.019664131,0.051443517,0.0431897
39,0.13561273,0.051290736,0.03880189,0.030665703
40,0.10809785,-0.43181714,0.10192454,0.1164975
41,-0.02564474,-0.08730705,0.034966394,0.029623415
42,0.14869514,0.119324915,0.40265682,0.33900514
43,-0.15115216,0.17191193,0.049241092,0.045593694
44,0.15387551,-0.18737444,0.15340401,0.14036931
45,-0.060082234,0.16542563,0.12587583,0.13650638
46,-0.15958601,-0.043105766,0.027276866,0.022313267
47,0.088450104,-0.1548706,0.03523354,0.033183996
48,-0.0042818747,-0.24587041,0.14275981,0.13946897
49,0.07866125,-0.45051268,0.038663696,0.03800314
50,-0.28601915,-0.0003675595,0.06481866,0.051467538
51,0.0034485161,0.009702079,0.030402312,0.026934508
52,-0.015571583,-0.09764077,0.08255377,0.07922132
53,0.12018895,-0.084380716,0.04957502,0.04060828
54,-0.0765522,-0.3208477,0.073349506,0.06668112
55,-0.13733733,-0.63603294,0.034782313,0.038355377
56,0.17506702,0.10976609,0.08702807,0.07195444
57,-0.040937033,0.009726301,0.038979847,0.035847973
58,0.06829356,0.05595157,0.05606068,0.044145502
59,-0.026796037,-0.032289073,0.037354924,0.029233024
60,-0.36451644,-0.49008688,0.1039237,0.10309653
61,0.19384217,0.15044469,0.17925869,0.18156092
62,-0.022420079,0.23997913,0.06467921,0.0624101
63,0.013458729,-0.049781084,0.034098867,0.027707912
64,0.3109811,-0.79466426,0.09086356,0.08064799
65,0.3234548,0.16101496,0.4243412,0.3630639
66,-0.019195244,-0.20921886,0.032455485,0.029212015
67,-0.047243692,-0.08951631,0.042868305,0.039527554
68,-0.087298594,-0.082129434,0.09864917,0.08947747
69,-0.25285956,-0.3388824,0.1502794,0.11716412
70,0.04854523,0.117417045,0.030558998,0.023886247
71,0.046949204,-0.06614052,0.10954117,0.10614076
72,0.32660866,0.6178206,0.08354084,0.08189252
73,-0.6643944,-0.15790075,0.05567581,0.03878371
74,-0.12066598,-0.38193518,0.1444622,0.117518164
75,-0.282596,-0.26811153,0.11459853,0.10051192
76,-0.04426329,-0.041409,0.13536413,0.14399965
77,0.53246564,0.40594915,0.029657772,0.027914371
78,-0.08588669,-0.2989703,0.047479767,0.04268078
79,0.6115341,0.15132442,0.044681877,0.036405593
80,-0.08559032,0.09515442,0.06722474,0.06600683
81,-0.08153349,-0.054413438,0.08268329,0.07532236
82,0.023736123,-0.09274045,0.030690908,0.025819266
83,0.04949886,-0.06123501,0.023883723,0.021615641
84,-0.0715738,-0.2633619,0.13706376,0.118809424
85,-0.14175163,-0.008576676,0.0499204,0.034126505
86,-0.013055982,0.04190363,0.09424326,0.07982892
87,-0.22644514,-0.09637895,0.11224094,0.08393971
88,0.054736678,0.048879985,0.07060351,0.05797822
89,0.009044029,-0.16856706,0.21604183,0.21687385
90,-0.06434131,-0.20184022,0.053683024,0.04940099
91,-0.36458093,0.36220717,0.044227134,0.04049662
92,-0.20856743,0.8656162,0.048099488,0.044458102
93,-0.10989472,-0.014646754,0.06099516,0.046437263
94,0.1297764,-0.03759563,0.030733917,0.024451163
95,0.37419775,0.22601213,0.037035964,0.030099398
96,0.020132747,-0.012268782,0.175857,0.13223317
97,-0.16460834,-0.4913409,0.03624036,0.031936407
98,0.034198854,-0.0870609,0.033530813,0.026030097
99,-0.10777953,0.6005267,0.04683919,0.04525372
100,0.18151018,0.110599436,0.13913327,0.11472164
101,0.034537,-0.007871412,0.033914965,0.027382646
102,-0.27011347,0.024950162,0.11111647,0.09783264
103,0.04024801,-0.028409667,0.04805416,0.04095834
104,0.0727455,-0.4504396,0.051492438,0.049903013
105,0.94800127,0.031328253,0.049434677,0.0528567
106,0.0278297,0.08787767,0.07584358,0.06728502
107,-0.01377584,0.1658538,0.10681963,0.09149914
108,-0.039879914,-0.17401227,0.33515522,0.28252473
109,0.029235784,-0.07962762,0.03639935,0.032378558
110,0.02808296,0.016652778,0.032600883,0.02809317
111,-0.050287113,0.06981996,0.037414294,0.03416913
112,0.021121476,0.0039754063,0.03473096,0.02833992
113,-0.5144754,-0.36730573,0.07487045,0.054804742
114,-0.03772836,-0.04150048,0.10927402,0.098595165
115,-0.2255116,0.13919304,0.123381175,0.09815445
116,0.5648593,-0.2953068,0.058583014,0.05049817
117,-0.750017,0.052639093,0.059558406,0.051024992
118,-0.095323384,0.43778622,0.08539615,0.07301919
119,0.0066689737,0.048904255,0.023502568,0.01958273
120,0.10200538,-0.21699193,0.026221268,0.022969928
121,0.008852925,-0.04350096,0.02682598,0.025221366
122,0.31333447,0.3750333,0.060200885,0.06428886
123,0.05658834,-0.16138113,0.07195937,0.05991692
124,-0.06003172,0.32175815,0.03881255,0.03725844
125,-0.020891625,-0.05644259,0.04924427,0.042178437
126,-0.16594477,0.02865868,0.12695485,0.12227313
127,-0.4731895,0.2271342,0.06646662,0.045549303
128,-0.068193465,-0.037149414,0.033246834,0.034170765
129,0.045975324,-0.18771112,0.14321528,0.12077039
130,-0.10804196,-0.044178814,0.11131466,0.08860807
131,-0.07497902,0.21145712,0.026324727,0.023233665
132,-0.013392502,-0.013570026,0.036046274,0.035257936
133,0.017931707,0.051797323,0.028714616,0.024598124
134,0.003219992,-0.08643256,0.030746747,0.025435178
135,-0.005184436,-0.052602082,0.033622228,0.031144543
136,0.08798009,-0.19390577,0.0789361,0.07082109
137,-0.44897726,0.17181975,0.055795997,0.037314683
138,0.14014454,0.08571919,0.058568515,0.043072216
139,0.03840388,-0.118343785,0.12333681,0.0890335
140,0.018773533,0.014231622,0.06971066,0.05953298
141,-0.13002275,-0.0029694214,0.034035265,0.02739925
142,-0.14276423,0.39981055,0.055537336,0.05866984
143,0.06799854,0.30167907,0.09254626,0.08768393
144,-0.036779545,0.080186605,0.047760073,0.047698207
145,0.3013165,-0.58446014,0.04012137,0.044200227
146,0.15960969,0.36964086,0.040318098,0.034986015
147,0.3599396,0.43948522,0.11858173,0.13085324
148,-0.2869029,-0.373688,0.09066226,0.08524164
149,-0.14124088,0.14116895,0.03105339,0.025245527
150,-0.56681234,0.085001275,0.042629693,0.035498973
151,-0.27313513,-0.052039772,0.02837087,0.021680685
152,-0.027715271,0.123234086,0.043570325,0.03358328
153,0.09607558,-0.27610445,0.034429938,0.031248104
154,-0.13193163,0.2343152,0.15315816,0.13693503
155,-0.03991509,0.022969082,0.047954053,0.05184107
156,-0.048013527,-0.029354706,0.03678998,0.027750889
157,-0.16267306,-0.013719715,0.06555032,0.059500895
158,0.043949824,-0.095995545,0.07104252,0.058154408
159,-0.002277853,-0.016661383,0.13516514,0.10330474
160,-0.018711131,0.078122176,0.030206976,0.024735631
161,0.61348146,0.09764491,0.07471504,0.07054874
162,0.002828952,-0.512095,0.08866475,0.10298707
163,-0.27939963,-0.15168248,0.043970603,0.039701328
164,0.0073056854,-0.078545615,0.03263908,0.025201933
165,0.59551287,0.3279066,0.0495951,0.04379263
166,0.19383326,-0.048851967,0.058698475,0.04151779
167,0.006136041,-0.06259176,0.0858913,0.07780555
168,-0.118447155,-0.0677619,0.032994278,0.025535937
169,0.7107029,0.056947555,0.054108296,0.04293897
170,-0.7309152,0.10379455,0.046152327,0.036821745
171,0.0033280775,-0.003941864,0.10433436,0.0970804
172,-0.25914088,-0.0155258775,0.19381116,0.14592737
173,-0.34761304,0.102407314,0.0701135,0.053761095
174,0.05624905,-0.0031034648,0.06640929,0.050143335
175,-0.07951333,0.018186152,0.08865297,0.07616766
176,0.03603049,0.053304788,0.03373622,0.028465396
177,0.06924716,-0.028823368,0.11607249,0.09107428
178,-0.019277496,-0.12246205,0.11312494,0.1355014
179,0.01671986,0.1416848,0.14345202,0.15924388
180,0.0033556744,0.008701637,0.03661807,0.026804449
181,-0.5588893,-0.53154993,0.04401281,0.044372723
182,-0.07964757,-0.21791157,0.082746945,0.08624892
183,0.57559186,0.6241751,0.07953763,0.07007334
184,0.057874102,-0.11848666,0.12520826,0.1392523
185,0.023199413,-0.012648329,0.028640248,0.022939745
186,-0.0025160555,-0.018437862,0.026053453,0.021529533
187,-0.14629216,0.33415055,0.46894518,0.37312135
188,0.14226724,0.15497851,0.047402233,0.0436017
189,-0.15237604,0.63812053,0.110900864,0.11589137
190,-0.2343469,-0.1037872,0.109896235,0.10947081
191,0.05203553,-0.021195225,0.05673784,0.050497975
192,0.015301868,0.02944684,0.075711414,0.06139018
193,-0.022980522,-0.013416074,0.026839094,0.021814652
194,-0.00168599,0.056551557,0.02492807,0.020973623
195,-0.25509363,-0.050125927,0.046230413,0.037953548
196,-0.7280637,-0.13321313,0.042637687,0.03686765
197,-0.4867634,0.32582766,0.17752287,0.15998015
198,0.2816045,-0.024535611,0.22219627,0.20337714
