,e1_out_mean,e2_out_mean,e1_out_std,e2_out_std
0,-0.6046691,-0.26443005,0.111168005,0.111930005
1,-0.017734878,0.06479794,0.072045445,0.06659767
2,0.14124651,0.24715172,0.09682878,0.09490718
3,0.2470413,0.19783291,0.07467532,0.06730785
4,0.23990782,-0.11727289,0.06984662,0.06304558
5,-0.0071287416,0.00062663853,0.09400641,0.08463146
6,0.07614124,-0.011555068,0.20312843,0.2108948
7,-0.27416247,-0.09801057,0.12965634,0.12500067
8,-0.0033748876,-0.16245742,0.07868203,0.063127786
9,0.023726556,-0.13490294,0.17401165,0.16307272
10,0.090336084,0.07154937,0.09139006,0.08558576
11,-0.40335077,-0.56501263,0.10706428,0.11453696
12,0.08175251,-0.0023539215,0.13793325,0.12064704
13,-0.01978198,0.044867963,0.07650915,0.06810879
14,0.1995998,0.046639904,0.08788791,0.08547809
15,0.20112254,-0.01360359,0.14311321,0.13173607
16,-0.11029351,-0.2700444,0.09691676,0.093403146
17,0.012828387,0.11946449,0.09035779,0.07446199
18,-0.10547939,-0.030192763,0.13442433,0.12387797
19,-0.06504196,0.42582947,0.100527324,0.10018116
20,-0.050247874,0.10925281,0.09378002,0.09557219
21,-0.023477025,0.084163725,0.081484,0.07358223
22,0.23958123,0.084148005,0.06508487,0.05580035
23,-0.39520326,0.55859,0.14270678,0.13049102
24,-0.0026002005,-0.08315645,0.08499405,0.07974997
25,0.022289574,0.24529226,0.10277661,0.09077604
26,0.014903713,-0.038079888,0.09448526,0.08961601
27,0.018767469,0.025194764,0.11416792,0.10117894
28,-0.13778637,-0.24783386,0.06117885,0.059248656
29,-0.24795419,-0.10369396,0.113582075,0.101932354
30,-0.01892329,0.040942445,0.045256622,0.041666195
31,0.058354963,-0.19681102,0.068568826,0.05669394
32,-0.36254126,0.0025816262,0.06570103,0.06138116
33,0.16604178,0.27239603,0.23643441,0.22615035
34,0.15505196,0.44217372,0.07939361,0.06554659
35,0.10641128,0.057984352,0.07346626,0.055314902
36,-0.13397451,-0.13076651,0.081641994,0.077044375
37,0.3827061,0.14928715,0.13957836,0.1259557
38,-0.10637157,0.2411264,0.1592868,0.14454512
39,-0.25324863,0.19538084,0.08798857,0.08349226
40,-0.029703181,0.020013005,0.10330366,0.09513505
41,-0.008771244,0.15777506,0.08881856,0.08139562
42,-0.48525256,-0.065892816,0.09057397,0.07280307
43,-0.062083717,-0.1466686,0.048837584,0.03913018
44,0.25380373,0.043053314,0.07060206,0.06442635
45,-0.12046152,0.3133043,0.10348727,0.08281628
46,0.17030124,-0.09016187,0.045409516,0.038660083
47,-0.039952174,-0.14639737,0.050171215,0.040259317
48,-0.32533264,-0.008491442,0.08603274,0.071224116
49,-0.28672126,-0.05442947,0.10896629,0.10891601
50,-0.3311757,-0.017347813,0.0794306,0.07741287
51,0.36337236,-0.32783473,0.09315497,0.083924405
52,-0.1363775,0.020515837,0.061548833,0.050671555
53,-0.3781026,-0.033235006,0.0659544,0.062046688
54,-0.002002418,-0.015488386,0.081188805,0.071068905
55,0.4842026,0.12528116,0.040039826,0.02931579
56,0.06501052,0.64468634,0.0757375,0.07731194
57,-0.16481161,-0.03766994,0.06067568,0.051292818
58,0.13221309,0.022050142,0.05106049,0.043710697
59,-0.16341606,0.103564605,0.13968816,0.13310553
60,0.81139696,0.33042234,0.09557885,0.08046334
61,0.023535933,0.042455293,0.06392074,0.057170674
62,0.08400679,-0.2538766,0.085821934,0.076516315
63,-0.06770155,-0.23301606,0.041713905,0.033716794
64,-0.27660143,-0.25284225,0.14913337,0.13502957
65,0.0946029,-0.41586018,0.09313184,0.08856062
66,0.1740161,0.12960202,0.070844084,0.067570694
67,0.7888525,-0.24356955,0.1695987,0.15445319
68,0.30755275,-0.23589775,0.116958424,0.1086976
69,-0.057139955,0.092909046,0.12039096,0.11373799
70,0.014657393,0.077374645,0.07251344,0.07020307
71,0.06646651,-0.07977466,0.09275521,0.08345662
72,-0.033449486,-0.091005474,0.0414884,0.036687266
73,0.1772196,0.22812562,0.08237167,0.06852068
74,0.3260844,0.24882825,0.12408925,0.09644678
75,0.09731154,0.32741112,0.08090749,0.07604206
76,-0.5456392,-0.22072747,0.1424463,0.14163269
77,-0.21403079,0.38560152,0.09643516,0.09712087
78,0.16992666,0.13399999,0.1045485,0.098670244
79,0.17490478,0.1302781,0.102965705,0.092876576
80,-0.08003567,-0.061797544,0.17209433,0.16058612
81,0.016418558,0.053924188,0.09517865,0.085368216
82,-0.07462065,0.1607041,0.08561404,0.07845018
83,0.13064964,-0.11604315,0.061365314,0.050062094
84,-0.0603656,0.0071399063,0.09330917,0.0824555
85,0.1691973,-0.4424966,0.06917005,0.06017322
86,-0.012455396,-0.4874252,0.09110116,0.08816651
87,-0.15363641,-0.05300098,0.064421155,0.06255479
88,-0.09883098,-0.09570308,0.1286511,0.11252141
89,-0.06750353,-0.06461538,0.10745387,0.09655001
90,-0.08102709,-0.01286982,0.24861346,0.22659646
91,0.28349835,0.20308292,0.09413011,0.079995714
92,0.3837301,0.47912407,0.092198975,0.098961525
93,-0.032199405,0.42633808,0.17743103,0.16692948
94,-0.013938114,-0.09091075,0.060581885,0.057933655
95,-0.06599699,-0.30833697,0.07718056,0.07275289
96,0.2738088,-0.27347088,0.07416108,0.06746352
97,-0.14284566,0.08052101,0.05328108,0.050884895
98,-0.0060353093,-0.048893422,0.03642222,0.031161638
99,0.39628902,0.14399852,0.096164815,0.087252654
100,-0.1557218,0.047981977,0.08129069,0.06964625
101,-0.0955977,-0.6731825,0.11621048,0.112979144
102,-0.036094822,-0.1278245,0.050431617,0.043971904
103,-0.05161867,-0.13500765,0.07173437,0.06949291
104,-0.29779744,-0.5637407,0.06525531,0.07280916
105,-0.31199148,-0.05197721,0.082017325,0.076292224
106,0.10335593,-0.03418587,0.1568904,0.15210225
107,0.21855734,-0.06880368,0.15354623,0.14666042
108,0.025914382,-0.49794447,0.110350154,0.10467682
109,0.08789964,-0.045142412,0.073270515,0.053595275
110,-0.2814399,-0.054851502,0.121534795,0.12026294
111,0.07796855,0.2702434,0.16140349,0.14928213
112,0.038300432,0.019006036,0.0887577,0.07532081
113,-0.16550183,-0.11267712,0.055083778,0.050620854
114,-0.29006797,0.51526034,0.051786788,0.053166334
115,0.25848415,0.025762618,0.12722969,0.12068518
116,-0.15440725,-0.057556763,0.05774575,0.050386336
117,-0.013849046,0.1924808,0.07299263,0.058610227
118,0.032625873,0.025940262,0.09081381,0.08638859
119,0.73652154,0.1638574,0.0672282,0.056549434
120,0.026081309,0.036422707,0.07775105,0.070224755
121,-0.18812856,0.085567184,0.12127044,0.12092017
122,-0.46200824,0.21070667,0.08787863,0.08528282
123,0.3169003,-0.07009917,0.07545034,0.063537516
124,-0.013013635,0.05492358,0.11060976,0.095109895
125,0.09911795,0.008868411,0.1289869,0.12369488
126,0.06481929,0.058754817,0.056624297,0.043088924
127,-0.037454564,0.15018283,0.09091211,0.086657494
128,-0.020813059,0.17701349,0.06926348,0.060854387
129,-0.08588734,0.025750391,0.10356392,0.10279997
130,-0.09634347,0.17691667,0.0496981,0.044994067
131,0.018536912,0.071331546,0.073489845,0.062590905
132,-0.7045405,-0.25028622,0.12080001,0.10982151
133,0.03268607,0.025942788,0.16551125,0.15796211
134,0.14674054,-0.062362596,0.16107173,0.14888622
135,-0.12725899,0.22981833,0.22833003,0.22190338
136,0.029127516,-0.008752137,0.06072662,0.056701776
137,-0.009534318,0.30413657,0.057271928,0.05166866
138,0.048927985,0.09366086,0.042941734,0.0363622
139,0.26334724,-0.75397575,0.108051,0.109198
140,0.10807951,-0.16592766,0.06804976,0.0637674
141,0.0038595833,-0.34331983,0.059639055,0.051780634
142,-0.1044513,0.09788136,0.051998097,0.0492644
143,-0.26142418,0.10697739,0.06951229,0.05465594
144,0.1439077,0.2188158,0.19531181,0.19550626
145,0.17091964,0.22709544,0.10543063,0.093028635
146,-0.32801324,-0.13176398,0.12848601,0.11823852
147,-0.13003418,-0.14009541,0.11015606,0.10229877
